100	100
8	16	82
22	21	61
23	21	78
21	19	52
4	1	94
23	13	83
4	6	63
16	20	63
6	24	94
14	13	55
22	12	51
5	22	49
9	1	73
12	4	23
7	1	33
2	20	89
16	25	91
4	24	73
16	23	72
5	8	36
24	9	19
13	3	12
8	18	14
19	17	84
11	6	17
20	2	46
8	11	71
9	22	56
4	22	100
16	24	12
8	9	85
4	17	77
20	13	38
3	4	48
9	9	81
14	15	91
18	13	18
22	11	91
21	24	21
1	24	88
2	24	98
3	15	14
19	25	37
20	14	27
8	24	66
25	22	60
18	23	29
16	1	63
10	2	73
9	5	57
8	17	45
25	5	84
3	19	99
21	12	46
16	8	67
10	19	21
5	3	37
12	16	36
5	21	52
2	10	39
17	17	88
1	3	72
12	1	40
17	3	24
19	19	49
12	3	93
11	7	20
19	7	88
9	15	100
12	8	96
10	18	52
20	12	35
15	21	43
19	6	91
22	21	48
23	13	41
23	9	86
5	6	64
15	14	79
24	22	46
