100	100
19	22	26
4	4	74
16	11	85
19	2	77
15	11	45
14	2	94
11	14	58
5	19	10
21	2	52
13	12	24
20	13	16
15	17	54
20	12	18
13	14	25
2	10	85
4	13	97
13	19	56
15	18	39
2	6	16
16	14	35
12	24	65
20	11	46
3	8	52
10	25	76
15	18	11
14	11	84
6	9	86
17	4	100
2	12	98
22	15	53
23	15	73
25	24	75
15	10	83
18	3	51
24	15	84
2	19	22
14	1	42
5	23	63
15	1	47
22	9	85
2	20	25
18	6	43
7	7	34
8	12	15
9	6	96
15	16	87
10	24	32
21	14	50
9	18	38
12	15	43
12	6	79
7	1	98
6	21	66
4	25	23
18	22	95
6	14	63
19	9	69
14	24	53
19	8	52
6	15	80
