100	100
16	9	38
17	6	26
16	21	23
20	18	76
25	12	19
3	18	100
17	16	88
22	25	82
21	12	90
19	18	15
4	10	81
25	5	27
10	7	52
12	14	94
23	12	49
2	3	57
19	19	40
22	12	20
18	2	13
6	16	62
19	6	11
9	23	19
10	17	84
25	5	26
18	21	91
14	9	29
7	2	97
6	24	70
7	7	23
23	1	12
13	11	42
7	16	41
6	3	82
21	11	45
12	21	29
7	2	19
6	24	89
5	1	20
23	7	22
18	19	18
14	11	10
7	16	59
24	19	14
25	23	14
22	12	42
13	6	61
1	7	79
17	6	73
12	21	90
22	5	19
19	18	86
14	4	55
14	11	38
2	4	68
3	12	98
3	18	34
7	2	44
14	15	26
13	23	84
10	8	60
11	14	55
14	20	21
18	17	28
4	1	90
7	5	94
12	2	69
11	19	24
19	9	10
24	18	75
24	16	28
21	9	77
22	4	60
19	15	50
23	7	63
22	6	82
13	25	22
18	21	92
15	19	50
7	19	26
10	14	55
3	24	37
5	9	51
5	15	32
10	17	93
8	17	95
18	2	99
1	20	21
16	9	53
11	18	95
19	23	33
