100	120
2	1	70
1	7	13
1	5	95
5	10	19
7	10	92
1	5	85
10	2	46
3	5	54
4	8	78
4	10	51
2	6	22
8	7	31
7	5	69
8	9	80
1	4	20
1	5	31
5	2	68
1	3	67
5	6	38
9	4	67
10	1	65
8	1	37
5	2	65
5	1	79
2	10	88
10	6	35
9	3	24
7	5	22
9	7	63
8	4	28
6	2	42
3	8	58
7	3	46
10	5	88
9	9	95
10	7	96
5	6	59
9	2	41
8	4	37
1	9	45
1	8	82
2	1	29
5	1	92
1	2	34
4	10	54
10	3	15
1	5	62
7	3	20
8	8	80
9	2	10
1	8	100
7	10	60
2	7	94
10	3	63
2	8	73
2	1	13
10	7	68
5	10	27
10	6	27
6	8	61
6	2	36
5	4	60
7	5	50
1	5	13
4	9	12
4	8	53
1	6	65
1	7	33
10	10	47
1	2	10
1	2	29
8	2	83
2	10	59
10	6	60
9	1	63
8	8	41
3	1	80
10	9	36
6	8	54
2	10	40
