100	120
6	1	84
2	2	37
9	9	43
6	8	28
6	8	24
7	3	84
2	2	47
6	4	37
10	7	22
1	2	44
7	2	92
7	7	37
2	2	35
10	8	37
2	2	98
6	5	12
1	8	99
4	3	63
4	2	90
3	9	60
7	1	44
10	3	17
1	8	54
3	6	30
8	2	93
5	1	23
5	8	10
1	3	10
9	4	50
4	1	47
4	7	15
10	7	85
3	3	86
10	3	34
6	5	19
7	8	67
3	1	57
3	1	70
4	4	90
9	9	70
3	6	82
10	9	81
4	7	41
6	9	69
3	3	96
2	6	55
8	4	56
3	9	77
9	4	88
1	3	81
2	5	80
2	4	60
8	5	49
1	1	83
9	2	48
7	6	25
3	4	17
4	7	70
1	10	92
8	6	63
4	1	10
5	7	36
1	8	87
1	10	95
5	5	64
7	4	59
6	9	98
2	10	59
3	8	35
2	9	60
